count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,0.135075,-0.06915,0.4864,-1.189,1.341475,1.0061,-3.296875,-16.765625,-1.171875
std,0.27015,0.1383,0.9728000000000001,1.3729389401329302,1.6270434154727813,1.1628113690534678,6.59375,33.53125,2.34375
min,0.0,-0.2766,0.0,-2.378,0.0,0.0,-13.1875,-67.0625,-4.6875
25%,0.0,-0.06915,0.0,-2.378,0.0,0.0,-3.296875,-16.765625,-1.171875
50%,0.0,0.0,0.0,-1.189,1.0366,0.9756,0.0,0.0,0.0
75%,0.135075,0.0,0.4864,0.0,2.378075,1.9817,0.0,0.0,0.0
max,0.5403,0.0,1.9456,0.0,3.2927,2.0732,0.0,0.0,0.0
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,0.135075,-0.06915,0.4864,-1.189,1.341475,1.0061,-3.296875,-16.765625,-1.171875
std,0.27015,0.1383,0.9728000000000001,1.3729389401329302,1.6270434154727813,1.1628113690534678,6.59375,33.53125,2.34375
min,0.0,-0.2766,0.0,-2.378,0.0,0.0,-13.1875,-67.0625,-4.6875
25%,0.0,-0.06915,0.0,-2.378,0.0,0.0,-3.296875,-16.765625,-1.171875
50%,0.0,0.0,0.0,-1.189,1.0366,0.9756,0.0,0.0,0.0
75%,0.135075,0.0,0.4864,0.0,2.378075,1.9817,0.0,0.0,0.0
max,0.5403,0.0,1.9456,0.0,3.2927,2.0732,0.0,0.0,0.0
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,0.135075,-0.06915,0.4864,-1.189,1.341475,1.0061,-3.296875,-16.765625,-1.171875
std,0.27015,0.1383,0.9728000000000001,1.3729389401329302,1.6270434154727813,1.1628113690534678,6.59375,33.53125,2.34375
min,0.0,-0.2766,0.0,-2.378,0.0,0.0,-13.1875,-67.0625,-4.6875
25%,0.0,-0.06915,0.0,-2.378,0.0,0.0,-3.296875,-16.765625,-1.171875
50%,0.0,0.0,0.0,-1.189,1.0366,0.9756,0.0,0.0,0.0
75%,0.135075,0.0,0.4864,0.0,2.378075,1.9817,0.0,0.0,0.0
max,0.5403,0.0,1.9456,0.0,3.2927,2.0732,0.0,0.0,0.0
